27758,90276,1582785511,0
27758,107081,1582785511,0
27758,114937,1582785511,0
27758,103283,1582785511,1
27758,82681,1582785511,0
27758,86339,1582785511,0
27758,89731,1582940435,0
27758,113213,1582940435,0
27758,106899,1582940435,0
27758,104249,1582940435,-1
27758,113880,1582940435,0
27758,112335,1582940435,0
27760,84758,1582890005,0
27760,90832,1582890005,1
27760,112038,1582890005,1
27760,91951,1582890005,0
27760,116509,1582890005,0
27760,91402,1582890005,0
27760,108712,1582890005,0
27760,96430,1582890005,1
27760,88646,1582890005,0
27760,115027,1582890005,1
27760,91104,1582890005,0
27760,85849,1582890005,0
27760,98030,1582890005,1
27760,106811,1582890005,0
27760,115264,1582890005,0
27762,113638,1582796413,-1
27763,90831,1582780141,0
27763,95327,1582780141,0
27763,111903,1582780141,0
27763,85901,1582780141,1
27763,111788,1582780141,1
27763,82555,1582780141,1
27763,84907,1582780141,1
27763,106629,1582780141,1
27763,113974,1582780141,0
27763,112027,1582780141,1
27763,94645,1582780141,1
27763,91978,1582780141,-1
27763,85142,1582780141,1
27763,87150,1582780141,0
27763,103385,1582780141,1
27763,116328,1582780141,0
27763,90280,1582780141,0
27763,109970,1582780141,0
27763,106546,1582780141,0
27763,84807,1582780141,0
27764,84257,1582728215,0
27764,84776,1582728215,1
27765,82441,1582678149,1
27766,112267,1582676772,1
27766,95217,1582676772,1
27766,85614,1582676772,1
27767,116271,1581752967,1
27767,107681,1581752967,0
27767,109992,1581752967,1
27767,98759,1581752967,0
27767,85650,1582670945,0
27767,105028,1582670945,-1
27767,105040,1582670945,-1
27767,99027,1582670945,0
27768,88893,1582059799,0
27768,110151,1582136409,0
27768,92221,1582664514,1
27768,115036,1582664514,-1
27768,108352,1582664514,0
27768,105583,1582664514,1
27768,101573,1582664514,0
27768,112100,1582664514,1
27768,91553,1582664514,0
27769,82098,1582587615,0
27769,95030,1582587615,1
27769,112331,1582587615,0
27769,105652,1582587615,0
27769,83725,1582587615,0
27769,94558,1582587615,-1
27769,98662,1582587615,1
27769,105430,1582587615,1
27769,116338,1582587615,-1
27769,98369,1582587615,1
27769,109290,1582587615,0
27769,111538,1582587615,1
27769,90695,1582587615,0
27769,90070,1582587615,0
27769,108867,1582587615,0
27769,102451,1582587615,0
27769,103376,1582587615,0
27769,115396,1582587615,0
27769,89999,1582587615,0
27769,104490,1582587615,1
27770,83448,1582309255,-1
27770,82043,1582309255,0
27771,118133,1575483760,0
27771,89638,1575483760,0
27771,80988,1575483760,0
27771,102582,1575915149,0
27771,116145,1582307153,0
27772,109303,1582220379,-1
27772,94972,1582220379,0
27772,83442,1582220379,-1
27772,101691,1582220379,-1
27772,103548,1582220379,-1
27772,98668,1582220379,0
27772,81971,1582220379,-1
27772,109600,1582220379,-1
27772,113753,1582220379,1
27772,97579,1582220379,0
27772,94826,1582220379,-1
27772,81627,1582220379,0
27772,108897,1582220379,0
27772,113080,1582220379,1
27772,117338,1582220379,0
27772,102581,1582220379,0
27772,114901,1582220379,-1
27772,105921,1582220379,1
27772,107501,1582220379,1
27772,82654,1582220379,-1
27773,96549,1582213685,1
27773,82185,1582213685,0
27773,92216,1582213685,1
27774,90815,1582184994,0
27776,110233,1582097491,0
27779,83536,1581552135,0
27779,81022,1582058640,0
27779,91969,1582058640,-1
27779,96737,1582058640,0
