41748,120334,1583135020,1
41748,120051,1583135020,0
41748,128673,1583135020,-1
41748,130746,1583135020,-1
41748,127869,1583135020,0
41751,123320,1583135020,1
41760,127879,1583135020,-1
41760,121571,1583135020,0
41760,120343,1583135020,0
41760,124753,1583135020,0
41760,130677,1583135020,0
41774,128093,1583135020,0
41774,130415,1583135020,0
41774,124506,1583135020,0
41774,130489,1583135020,-1
41774,124423,1583135020,1
41778,129939,1583135020,1
41780,123214,1568083665,1
41780,128395,1568085230,0
41780,127578,1568083665,0
41780,121561,1568085230,0
41780,120911,1583135020,0
41785,125499,1568085244,-1
41785,129179,1568083664,-1
41785,120090,1583135020,-1
41785,131709,1568083664,0
41785,127035,1583135020,0
41796,123563,1568085270,0
41796,123294,1568085270,0
41796,123861,1568083664,0
41796,130976,1583135020,0
41796,121075,1568083664,0
41805,123413,1582926750,-1
41808,123062,1582925978,0
41808,121615,1582925978,0
41808,130688,1582925978,-1
41808,130778,1582925978,1
41808,125352,1582925978,-1
41825,129019,1582661409,0
41825,127746,1582661409,0
41825,128960,1582661409,0
41825,126908,1582661409,0
41825,125508,1582661409,0
41836,120868,1582303245,0
41846,120121,1582171817,1
41846,125359,1582171817,1
41856,128470,1582171817,0
41856,124423,1582171817,-1
41856,127380,1582171817,1
41856,127744,1582171817,0
41856,130335,1582171817,0
41880,131535,1582149998,1
41880,128797,1582149998,0
41880,120910,1582149998,1
41880,128636,1582149998,1
41880,131131,1582149998,0
41898,129131,1581630643,1
41898,120603,1581630643,-1
41898,127689,1581630643,0
41898,125496,1581630643,-1
41898,123193,1581988765,0
41902,129109,1581886303,0
41924,127755,1581356743,1
41941,125485,1581204023,0
41954,126752,1581093343,1
41961,130130,1580942510,1
41961,130909,1580942510,-1
41961,126930,1580942510,-1
41961,131389,1580942510,-1
41967,129021,1580863253,1
41967,126691,1580863253,0
41967,126547,1580863253,0
41967,129254,1580863253,0
41967,123509,1580863250,0
41972,130079,1580861054,1
41975,124649,1580855936,0
41975,131613,1580855936,1
41975,122885,1580855936,1
41975,125440,1580855936,1
41975,123477,1580855936,1
41979,131121,1580710557,0
41979,126368,1580710557,-1
41979,129921,1580782467,0
41982,124703,1580780062,0
41993,122881,1580685859,0
41993,130531,1580685859,0
42002,131469,1580488786,1
42016,120415,1580322258,0
42025,123931,1580233508,1
42025,127695,1580233508,1
42025,129908,1580233508,0
42025,128838,1580233508,1
42037,127039,1580063519,0
42037,121290,1580063519,-1
42037,130845,1580063519,-1
42037,126600,1580064102,0
42047,129864,1579893902,1
42051,123679,1579826741,-1
42054,127306,1579825408,1
42054,120523,1579825408,1
42065,120568,1579800894,0
42065,120884,1579800894,0
42065,124576,1579800894,0
42065,121837,1579800894,0
42065,123056,1579800894,1
42069,131589,1579771531,0
42073,120758,1579752021,-1
42073,120994,1579752021,0
